                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.53515,                0.93703,                0.45473,                 1.0218,                0.94537,                0.86939,                 0.9201,                0.79641,                0.94749,                0.86531,                0.92302,                0.75832,                0.55063,                 1.0531,                0.50986,                 1.1016,              0.0005744,              0.0005744,              0.0005744
                     38,                0.51945,                0.92288,                0.46502,                 1.0096,                0.94618,                0.86103,                0.92462,                0.78645,                0.94842,                0.86307,                0.92161,                0.75161,                0.58041,                 1.0291,                0.51895,                  1.117,              0.0005348,              0.0005348,              0.0005348
                     39,                0.54312,                0.90503,                0.46633,                 1.0237,                 0.9499,                0.85918,                 0.9299,                0.80566,                0.94764,                0.85714,                0.92745,                0.76171,                0.54639,                 1.0175,                0.46485,                 1.0941,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.4942,                0.88813,                0.44294,                0.99824,                0.94451,                0.86851,                0.93114,                0.80246,                0.95641,                0.85076,                0.92387,                0.75744,                0.57394,                 1.0878,                 0.4753,                 1.1195,              0.0004556,              0.0004556,              0.0004556
                     41,                0.43329,                0.77047,                0.41742,                 1.0173,                0.93963,                0.84694,                0.90922,                 0.7869,                0.96044,                 0.8423,                0.91638,                0.75342,                0.56094,                 1.0396,                0.50352,                 1.1271,               0.000416,               0.000416,               0.000416
                     42,                0.43666,                0.77474,                0.39099,                 1.0295,                0.92558,                0.87347,                0.92526,                0.78645,                0.93175,                0.86368,                0.92197,                0.76161,                0.56221,                 1.0434,                0.48179,                 1.1064,              0.0003764,              0.0003764,              0.0003764
                     43,                0.43252,                0.74216,                0.37325,                  1.028,                0.95876,                0.85392,                0.92395,                0.79573,                 0.9605,                 0.8551,                0.92423,                0.76458,                0.53968,                 1.0083,                0.46876,                 1.0902,              0.0003368,              0.0003368,              0.0003368
                     44,                0.40873,                 0.6914,                0.35448,                 1.0123,                0.94199,                0.86531,                0.92066,                0.79933,                0.94199,                0.86531,                0.92759,                0.76689,                0.54687,                 1.0131,                0.46488,                 1.0909,              0.0002972,              0.0002972,              0.0002972
                     45,                0.39007,                0.70572,                0.33502,                0.98399,                0.92867,                0.87681,                0.92976,                0.80322,                0.93299,                0.88081,                0.93351,                0.77405,                0.54488,                 1.0058,                0.44323,                 1.0958,              0.0002576,              0.0002576,              0.0002576
                     46,                0.39487,                0.70019,                  0.349,                0.99304,                0.94846,                0.86377,                0.93332,                0.79941,                 0.9507,                0.86581,                0.93356,                0.76949,                0.55835,                 1.0265,                0.44487,                 1.1048,               0.000218,               0.000218,               0.000218
                     47,                0.38243,                 0.6991,                 0.3282,                0.98835,                0.95954,                0.86327,                0.93286,                0.80921,                0.95954,                0.86327,                0.93426,                0.77277,                0.54875,                 1.0132,                0.44383,                 1.0947,              0.0001784,              0.0001784,              0.0001784
                     48,                0.36301,                0.68628,                0.32977,                0.96763,                0.95629,                0.86531,                 0.9339,                0.80422,                0.95855,                0.86735,                0.93522,                0.77462,                0.54871,                 1.0068,                0.45329,                 1.1003,              0.0001388,              0.0001388,              0.0001388
                     49,                0.36412,                0.66134,                0.33227,                0.96561,                0.96136,                0.86316,                0.93196,                0.80782,                0.96136,                0.86316,                0.93359,                0.77147,                0.54483,                 1.0075,                0.44591,                 1.0999,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.35421,                0.67299,                0.30301,                0.96594,                0.96463,                0.85714,                0.93211,                0.80784,                0.96692,                0.85918,                 0.9331,                0.77574,                0.53818,                 1.0104,                0.44572,                 1.0918,               5.96e-05,               5.96e-05,               5.96e-05
