epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5058.66,0.53013,0.96792,0.49414,1.08039,0.95157,0.85463,0.93167,0.80277,0.95719,0.85375,0.9349,0.76344,0.53989,1.02979,0.49522,1.18939,0.0004556,0.0004556,0.0004556
41,5184.16,0.43501,0.83979,0.41587,1.08558,0.93367,0.8474,0.93077,0.78931,0.95469,0.84581,0.93186,0.74508,0.56257,1.08382,0.50672,1.23013,0.000416,0.000416,0.000416
42,5307.65,0.4323,0.8207,0.39103,1.077,0.95008,0.8384,0.9359,0.80166,0.95847,0.84875,0.9354,0.76537,0.53438,1.00834,0.48616,1.20687,0.0003764,0.0003764,0.0003764
43,5432.35,0.42278,0.79125,0.38115,1.07949,0.91723,0.86197,0.93564,0.7994,0.94557,0.84875,0.93573,0.76756,0.54525,1.01258,0.49152,1.2081,0.0003368,0.0003368,0.0003368
44,5555.82,0.41096,0.75483,0.3675,1.07159,0.95478,0.83705,0.92922,0.80471,0.96483,0.84586,0.9346,0.77496,0.53492,1.01741,0.47739,1.19191,0.0002972,0.0002972,0.0002972
45,5682.43,0.38971,0.743,0.35068,1.05308,0.92811,0.87812,0.9372,0.81621,0.94462,0.87372,0.93611,0.77598,0.52084,0.9942,0.47538,1.17875,0.0002576,0.0002576,0.0002576
46,5807.4,0.37043,0.73131,0.33707,1.02231,0.93055,0.85756,0.9375,0.81125,0.96014,0.84875,0.94361,0.77823,0.52007,1.02234,0.46598,1.18656,0.000218,0.000218,0.000218
47,5929.55,0.36936,0.72225,0.33517,1.02378,0.92014,0.87977,0.93947,0.8188,0.9277,0.88559,0.94554,0.77885,0.49843,1.01014,0.45072,1.16884,0.0001784,0.0001784,0.0001784
48,6055.57,0.35301,0.68792,0.31882,1.02373,0.93375,0.86931,0.93822,0.81614,0.94674,0.87078,0.94548,0.78274,0.5139,1.00813,0.4592,1.18218,0.0001388,0.0001388,0.0001388
49,6181.65,0.34725,0.69905,0.31671,1.00202,0.92235,0.8721,0.93739,0.81411,0.95965,0.85609,0.94503,0.78369,0.5077,1.00371,0.46362,1.17927,9.92e-05,9.92e-05,9.92e-05
50,6304.96,0.35013,0.69094,0.31224,0.99778,0.92365,0.87078,0.93605,0.81615,0.95901,0.8588,0.94378,0.78078,0.49319,1.00191,0.46325,1.1672,5.96e-05,5.96e-05,5.96e-05
